"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 17:48:42 CAT 2022","Mon Jul 25 17:48:50 CAT 2022","7491","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify page title exists","Verify page title exists",""
"passed","Mon Jul 25 17:49:19 CAT 2022","Mon Jul 25 17:49:22 CAT 2022","2988","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for main menu and sub menu list of items text and count - About Volvo","Verify navigation bar for main menu and sub menu list of items text and count - About Volvo",""
"passed","Mon Jul 25 17:49:24 CAT 2022","Mon Jul 25 17:49:26 CAT 2022","2283","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for main menu and sub menu list of items text and count - More","Verify navigation bar for main menu and sub menu list of items text and count - More",""
"passed","Mon Jul 25 17:49:12 CAT 2022","Mon Jul 25 17:49:19 CAT 2022","7346","","A Million More Pag - Our Cars Button Tests","","A Million More Pag - Our Cars Button Tests","Verify navigation for our cars section - Mild hybrids | Micro hybrids","Verify navigation for our cars section - Mild hybrids | Micro hybrids",""
"passed","Mon Jul 25 17:48:52 CAT 2022","Mon Jul 25 17:48:58 CAT 2022","5983","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for menu text and its items count","Verify navigation bar for menu text and its items count",""
"passed","Mon Jul 25 17:48:51 CAT 2022","Mon Jul 25 17:48:59 CAT 2022","8184","","A Million More Page - Videos Test","","A Million More Page - Videos Test","Verify the main video is playing or not by comparing the images","Verify the main video is playing or not by comparing the images",""
"passed","Mon Jul 25 17:49:22 CAT 2022","Mon Jul 25 17:49:24 CAT 2022","2022","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for main menu and sub menu list of items text and count - Explore","Verify navigation bar for main menu and sub menu list of items text and count - Explore",""
"passed","Mon Jul 25 17:48:59 CAT 2022","Mon Jul 25 17:49:13 CAT 2022","14176","","A Million More Page - Videos Test","","A Million More Page - Videos Test","Verify the main video pause and play buttons are working","Verify the main video pause and play buttons are working",""
"passed","Mon Jul 25 17:48:43 CAT 2022","Mon Jul 25 17:48:53 CAT 2022","10029","","A Million More Page -Model Intro Test","","A Million More Page -Model Intro Test","Verify page model intro header exists","Verify page model intro header exists",""
"passed","Mon Jul 25 17:48:42 CAT 2022","Mon Jul 25 17:48:51 CAT 2022","8215","","A Million More Page - Videos Test","","A Million More Page - Videos Test","Verify page title","Verify page title",""
"passed","Mon Jul 25 17:49:07 CAT 2022","Mon Jul 25 17:49:12 CAT 2022","4384","","A Million More Pag - Our Cars Button Tests","","A Million More Pag - Our Cars Button Tests","Verify navigation for our cars section - Pure electric","Verify navigation for our cars section - Pure electric",""
"passed","Mon Jul 25 17:49:00 CAT 2022","Mon Jul 25 17:49:07 CAT 2022","7611","","A Million More Pag - Our Cars Button Tests","","A Million More Pag - Our Cars Button Tests","Verify navigation for our cars section - Plug-in hybrids","Verify navigation for our cars section - Plug-in hybrids",""
"passed","Mon Jul 25 17:49:11 CAT 2022","Mon Jul 25 17:49:15 CAT 2022","3682","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for main menu and sub menu list of items text and count - Buy","Verify navigation bar for main menu and sub menu list of items text and count - Buy",""
"passed","Mon Jul 25 17:49:15 CAT 2022","Mon Jul 25 17:49:19 CAT 2022","4071","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for main menu and sub menu list of items text and count - Own","Verify navigation bar for main menu and sub menu list of items text and count - Own",""
"passed","Mon Jul 25 17:48:50 CAT 2022","Mon Jul 25 17:48:52 CAT 2022","2802","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for menu button","Verify navigation bar for menu button",""
"passed","Mon Jul 25 17:48:58 CAT 2022","Mon Jul 25 17:49:11 CAT 2022","12759","","A Million More Page - Side Menu Navigation Tests","","A Million More Page - Side Menu Navigation Tests","Verify navigation bar for main menu and sub menu list of items count- Repeated test","Verify navigation bar for main menu and sub menu list of items count- Repeated test",""
"passed","Mon Jul 25 17:48:53 CAT 2022","Mon Jul 25 17:48:54 CAT 2022","1530","","A Million More Page -Model Intro Test","","A Million More Page -Model Intro Test","Verify page model intro header paragraph exists","Verify page model intro header paragraph exists",""
"passed","Mon Jul 25 17:49:13 CAT 2022","Mon Jul 25 17:49:15 CAT 2022","1896","","A Million More Page - Videos Test","","A Million More Page - Videos Test","Verify testimonial videos, title, description count","Verify testimonial videos, title, description count",""
"passed","Mon Jul 25 17:48:42 CAT 2022","Mon Jul 25 17:49:00 CAT 2022","17484","","A Million More Pag - Our Cars Button Tests","","A Million More Pag - Our Cars Button Tests","Verify navigation for our cars button","Verify navigation for our cars button",""
